course,avg_gpa,total_students,grade_entropy,grade_skewness,pct_a_range,exam_heavy,project_heavy,course_level
COMPSCI 61A,3.200773558368495,18178,3.0057683757703693,-1.9202471447950418,41.95755018539828,0.0,1.0,lower_div
DATA C8,3.288860646883141,17779,3.0019881471399965,-1.4667828150607973,51.58543559763614,0.0,0.0,lower_div
COMPSCI 61B,3.4138595912986154,13757,2.887165298004647,-2.1470260769272396,61.00856954515491,0.0,1.0,lower_div
DATA C100,3.3580420860018294,11970,2.8856236960529844,-1.9368883913527808,52.99176578225069,0.0,0.0,upper_div
COMPSCI 61C,3.3075265358636217,10386,2.9086234989337196,-1.9314709090360416,54.93727886780315,0.0,1.0,lower_div
COMPSCI 70,3.1936693503915294,10256,2.955426175110277,-1.6964231951984914,38.347854858277266,1.0,0.0,lower_div
COMPSCI 188,3.4339173349784087,9638,2.710951108653876,-2.3862045298745267,57.84083898827884,0.0,0.0,upper_div
COMPSCI 170,3.3470046854082995,7430,2.8053728201446657,-1.822210992156483,52.56024096385542,1.0,0.0,upper_div
COMPSCI 161,3.516207379729099,7383,2.5529357353163915,-2.641652090375749,67.00918573875137,,,upper_div
DATA C104,3.5261499456718575,6015,2.442181671505247,-2.761777860349468,64.28830134009416,,,upper_div
COMPSCI 189,3.458578897338403,5308,2.8139563395006526,-2.0357954733569446,63.711977186311785,,,upper_div
COMPSCI 162,3.471847739888977,4739,2.6408986582278526,-1.865509743667938,62.88659793814433,,,upper_div
COMPSCI 186,3.4546184738955823,3672,2.663314811386037,-2.164340937881402,56.96632684584492,,,upper_div
DATA C88C,3.296852146263911,3464,2.9062863007427158,-1.8326254470655319,44.292527821939586,,,lower_div
COMPSCI 10,3.390993636808614,2614,2.7151704437506265,-2.1303486178510074,67.25403817914831,,,lower_div
DATA C140,2.852124526714346,2564,3.2581695898244187,-0.8666338785049351,32.015145140933946,,,upper_div
DATA C102,3.462317518248175,2458,2.6517008791002548,-1.8729082717946044,57.299270072992705,,,upper_div
COMPSCI 168,3.597776572668113,2261,2.3776755200059325,-2.3980010922020423,68.058568329718,,,upper_div
DATA 144,3.829501312335958,1974,1.6394396617519462,-4.2845663256569555,88.03149606299212,,,upper_div
COMPSCI 184,3.475970149253731,1717,2.6507383832840614,-2.2966082683117963,61.56716417910447,,,upper_div
COMPSCI 164,3.281497797356828,1319,3.0731287686353714,-1.7782644932367084,52.0704845814978,,,upper_div
COMPSCI 169A,3.595702005730659,1136,2.371011387701896,-3.302762179988612,74.21203438395415,,,upper_div
COMPSCI 160,3.603876739562624,1113,2.5519285126999387,-2.4838317574944186,71.66998011928429,,,upper_div
DATA C88S,3.047218788627935,877,3.1436392677971488,-1.0874812942084977,39.18417799752781,,,lower_div
DATA 88E,3.7163934426229512,672,2.009978250815439,-3.0589948620909286,80.32786885245902,,,lower_div
DATA C101,3.464715447154471,630,2.466740820360585,-1.7031821514394823,51.38211382113821,,,upper_div
COMPSCI 180,3.6165354330708666,419,2.250102066347322,-2.93027278084508,72.70341207349081,,,upper_div
DATA 6,3.739035087719298,263,2.276691830996625,-3.153910628316915,83.33333333333334,,,lower_div
COMPSCI 176,3.727272727272727,61,2.2875310363550883,-1.6936535992890598,75.75757575757575,,,upper_div
DATA C131A,,0,,,,,,upper_div
